file_name	title	author	datetime
womens-basketball-is-awash-with-standout-freshmen.html	Women’s Basketball Is Awash With Standout Freshmen	Howard Megdal	Jan. 14, 2021
what-makes-patrick-mahomes-so-great.html	What Makes Patrick Mahomes So Great	Josh Hermsmeyer	Jan. 14, 2021
y-10-republicans-voted-for-impeachment.html	Why 10 Republicans Voted For Impeachment	Galen Druke	Jan. 13, 2021
the-nets-go-all-in-with-james-harden-but-the-move-has-risks.html	The Nets Go All-In With James Harden, But The Move Has Risks	Neil Paine	Jan. 13, 2021
trump-has-been-rebuked-like-no-other-president-but-really-only-by-democrats.html	Trump Has Been Rebuked Like No Other President — But Really Only By Democrats	Perry Bacon Jr.	Jan. 13, 2021
our-guide-to-the-nfls-divisional-round-2.html	Our Guide To The NFL’s Divisional Round	Neil Paine	Jan. 13, 2021
what-kicking-trump-off-twitter-can-and-cant-do.html	What Kicking Trump Off Twitter Can — And Can’t — Do	Kaleigh Rogers	Jan. 13, 2021
can-the-lightning-repeat-are-the-avs-for-real-what-to-watch-in-the-2020-21-nhl-season.html	Can The Lightning Repeat? Are The Avs For Real? What To Watch In The 2020-21 NHL Season.	Terrence Doyle	Jan. 13, 2021
what-the-house-vote-on-the-25th-amendment-says-about-impeachment.html	What The House Vote On The 25th Amendment Says About Impeachment	Perry Bacon Jr.	Jan. 12, 2021
how-much-danger-is-american-democracy-in.html	How Much Danger Is American Democracy In?		Jan. 12, 2021
alabamas-case-as-the-best-college-football-team-ever.html	Alabama’s Case As The Best College Football Team Ever	Josh Planos	Jan. 12, 2021
whos-making-a-splash-so-far-in-our-nba-player-ratings.html	Who’s Making A Splash So Far In Our NBA Player Ratings?	Neil Paine	Jan. 12, 2021
y-trumps-second-impeachment-will-be-a-political-test-for-both-parties.html	Why Trump’s Second Impeachment Will Be A Political Test For Both Republicans And Democrats	Galen Druke	Jan. 11, 2021
slightly-more-americans-are-ready-to-impeach-trump-this-time-around.html	Slightly More Americans Are Ready To Impeach Trump This Time Around	Nathaniel Rakich	Jan. 11, 2021
lamar-jackson-the-browns-and-slime-won-the-nfls-wild-card-weekend.html	Lamar Jackson, The Browns And Slime Won The NFL’s Wild-Card Weekend		Jan. 11, 2021
bidens-record-breaking-cabinet-in-one-chart.html	Biden’s Record-Breaking Cabinet Nominees, In One Chart	Nathaniel Rakich	Jan. 11, 2021
what-to-watch-for-in-the-college-football-national-championship.html	What To Watch For In The College Football National Championship	Richard Johnson	Jan. 11, 2021
georgia-was-a-disaster-for-republicans-and-its-not-clear-where-they-can-go-next.html	Georgia Was A Disaster For Republicans. It’s Not Clear Where They Can Go Next.	Nate Silver	Jan. 11, 2021
y-police-aggression-is-far-more-pronounced-against-left-leaning-protesters.html	Why Police Aggression Is Far More Pronounced Against Left-Leaning Protesters	Maggie Koerth	Jan. 8, 2021
trump-helped-take-extremist-views-from-the-fringes-of-society-to-a-mob-attacking-the-capitol.html	Trump Helped Take Extremist Views From The Fringes Of Society To A Mob Attacking The Capitol	Nathaniel Rakich	Jan. 8, 2021
storming-the-u-s-capitol-was-about-maintaining-white-power-in-america.html	Storming The U.S. Capitol Was About Maintaining White Power In America	Hakeem Jefferson	Jan. 8, 2021
can-you-cut-the-square-into-more-squares.html	Can You Cut The Square … Into More Squares?	Zach Wissner-Gross	Jan. 8, 2021
the-college-football-playoff-committee-is-answering-the-wrong-question.html	The College Football Playoff Committee Is Answering The Wrong Question	Zach Wissner-Gross	Jan. 8, 2021
why-did-nfl-teams-score-so-much-this-season.html	Why Did NFL Teams Score So Much This Season?	Josh Hermsmeyer	Jan. 8, 2021
answers-to-all-or-at-least-some-of-your-covid-19-vaccine-questions.html	Answers To All (Or At Least Some) Of Your COVID-19 Vaccine Questions	Sinduja Srinivasan	Jan. 8, 2021
republicans-control-whether-trump-stays-or-goes.html	Republicans Control Whether Trump Stays Or Goes	Perry Bacon Jr.	Jan. 7, 2021
how-democrats-won-the-georgia-runoffs.html	How Democrats Won The Georgia Runoffs	Nathaniel Rakich	Jan. 7, 2021
the-polices-tepid-response-to-the-capitol-breach-wasnt-an-aberration.html	The Police’s Tepid Response To The Capitol Breach Wasn’t An Aberration	Maggie Koerth	Jan. 7, 2021
no-ohio-state-isnt-a-quarterback-school-but-there-are-no-quarterback-schools.html	No, Ohio State Isn’t A Quarterback School. But There Are No Quarterback Schools.	Ty Schalter	Jan. 7, 2021
at-trumpism-has-cost-the-gop-and-the-nation.html	What Trumpism Has Cost The GOP And The Nation	Galen Druke	Jan. 6, 2021
our-guide-to-the-nfls-wide-open-wild-card-weekend.html	Our Guide To The NFL’s Wide-Open Wild-Card Weekend	Neil Paine	Jan. 6, 2021
the-bucks-built-the-nbas-best-defense-now-other-teams-are-copying-it.html	The Bucks Built The NBA’s Best Defense. Now, Other Teams Are Copying It.	Jared Dubin	Jan. 6, 2021
w-to-watch-the-georgia-senate-runoffs-like-a-pro.html	How To Watch The Georgia Senate Runoffs Like A Pro	Anna Rothschild	Jan. 5, 2021
as-it-turns-out-you-do-need-a-run-game-just-ask-the-steelers.html	As It Turns Out, You Do Need A Run Game. Just Ask The Steelers.	Andres Waters	Jan. 5, 2021
democrats-hope-georgia-will-become-the-next-virginia-but-it-could-end-up-being-the-next-north-carolina.html	Democrats Hope Georgia Will Become The Next Virginia, But It Could End Up Being The Next North Carolina	Perry Bacon Jr.	Jan. 5, 2021
y-many-republicans-are-still-attempting-to-overturn-the-election.html	Why Many Republicans Are Still Attempting To Overturn The Election	Galen Druke	Jan. 4, 2021
were-the-eagles-tanking-or-were-they-just-being-the-eagles.html	Were The Eagles Tanking? Or Were They Just Being The Eagles?		Jan. 4, 2021
was-trumps-effort-to-undermine-georgias-election-a-sign-of-where-the-gop-is-headed.html	Was Trump’s Effort To Undermine Georgia’s Election A Sign Of Where The GOP Is Headed?		Jan. 4, 2021
the-pistons-problem-isnt-their-offseason-moves-its-their-struggling-veterans.html	The Pistons’ Problem Isn’t Their Offseason Moves, It’s Their Struggling Veterans	Chris Herring	Jan. 4, 2021
the-case-for-republicans-in-georgia-vs-the-case-for-democrats.html	The Case For Republicans In Georgia vs. The Case For Democrats	Nathaniel Rakich	Jan. 4, 2021
will-the-debate-over-2000-stimulus-checks-help-democrats-in-georgia.html	Will The Debate Over $2,000 Stimulus Checks Help Democrats In Georgia?	Perry Bacon Jr.	Dec. 31, 2020
what-to-watch-for-in-the-college-football-playoff-semifinals-2020.html	What To Watch For In The College Football Playoff Semifinals	Josh Planos	Dec. 31, 2020
why-a-split-verdict-in-georgia-isnt-that-crazy.html	Why A Split Verdict In Georgia Isn’t That Crazy	Nate Silver	Dec. 30, 2020
the-most-important-nfl-games-of-week-17.html	The Most Important NFL Games Of Week 17	Neil Paine	Dec. 30, 2020
what-democrats-can-learn-from-nebraskas-shift-to-the-right.html	What Democrats Can Learn From Nebraska’s Shift To The Right	Ross Benes	Dec. 30, 2020
baseball-lost-a-team-of-legends-this-year.html	Baseball Lost A Team Of Legends This Year	Howard Megdal	Dec. 30, 2020
what-the-early-vote-in-georgia-can-and-cant-tell-us.html	What The Early Vote In Georgia Can — And Can’t — Tell Us	Nathaniel Rakich	Dec. 29, 2020
y-many-pollsters-are-sitting-out-the-georgia-runoffs.html	Why Many Pollsters Are Sitting Out The Georgia Runoffs	Galen Druke	Dec. 29, 2020
everything-about-sports-in-2020-was-weird-except-who-won.html	Everything About Sports In 2020 Was Weird … Except Who Won	Neil Paine	Dec. 29, 2020
miami-brought-the-drama-in-the-nfls-week-16.html	It’s Almost Over, But There’s Still So Much Left		Dec. 28, 2020
are-defensive-play-callers-consistent-enough-to-be-exploitable.html	Are Defensive Play-Callers Consistent Enough To Be Exploitable?	Josh Hermsmeyer	Dec. 24, 2020
its-hard-not-to-believe-in-luka-doncic.html	It’s Hard Not To Believe In Luka Dončić	Dorothy J. Gentry	Dec. 23, 2020
californias-new-senator-will-make-history-but-can-he-win-a-full-term-in-2022.html	California’s New Senator Will Make History. But Can He Win A Full Term In 2022?	Nathaniel Rakich	Dec. 22, 2020
-fauci-on-life-post-vaccine-and-bidens-approach-to-the-pandemic.html	Dr. Fauci On When Life Will Return To ‘Normal’	Anna Rothschild	
democrats-and-republicans-should-argue-more-not-less.html	Democrats And Republicans Should Argue More — Not Less	Daniel Cox	Dec. 22, 2020
what-makes-lebron-james-so-great.html	What Makes LeBron James The GOAT	Chris Herring	Dec. 22, 2020
y-georgia-isnt-like-the-other-battleground-states.html	Why Georgia Isn’t Like The Other Battleground States	Galen Druke	Dec. 21, 2020
the-jets-won-the-battle-and-lost-the-war.html	The Jets Won The Battle And Lost The War		Dec. 21, 2020
-you-buy-that-trumps-refusal-to-concede-has-made-life-harder-for-the-gop.html	Do You Buy That … Trump’s Rhetoric Is Hurting GOP Senate Candidates In Georgia?	Nate Silver	Dec. 21, 2020
the-40-weirdest-and-best-charts-we-made-in-2020.html	The 40 Weirdest (And Best) Charts We Made In This Long, Strange Year	Ryan Best	Dec. 21, 2020
once-you-get-the-covid-19-vaccine-can-you-still-infect-others.html	Even After Getting Vaccinated, You Could Still Infect Others	Maggie Koerth	Dec. 18, 2020
college-footballs-championship-week-probably-wont-change-the-playoff-picture.html	College Football’s Championship Week Probably Won’t Change The Playoff Picture	Jake Lourim	Dec. 18, 2020
placekickers-with-nfl-dreams-face-a-winding-risky-path.html	How To Build A Placekicker	Marisa Ingemi	Dec. 18, 2020
can-you-not-flip-your-lid.html	Can You (Not) Flip Your Lid?	Zach Wissner-Gross	Dec. 18, 2020
does-it-matter-which-covid-19-vaccine-i-take.html	Does It Matter Which COVID-19 Vaccine You Get?	Maggie Koerth	Dec. 18, 2020
both-republicans-and-democrats-want-congress-to-approve-a-new-coronavirus-stimulus-package.html	Americans Overwhelmingly Want Congress To Approve Another Coronavirus Stimulus Package	Nathaniel Rakich	Dec. 18, 2020
at-did-all-those-books-about-trump-accomplish.html	What Did All Those Books About Trump Accomplish?	Galen Druke	Dec. 17, 2020
the-dolphins-are-making-a-name-for-themselves-with-their-no-name-defense.html	The Dolphins Are Making A Name For Themselves With Their No-Name Defense	Ty Schalter	Dec. 17, 2020
what-to-watch-for-in-the-2020-21-nba-season.html	What To Watch For In The 2020-21 NBA Season	Neil Paine	Dec. 17, 2020
split-ticket-voters-are-a-small-group-but-they-could-decide-the-georgia-runoffs.html	Split-Ticket Voters Are A Small Group, But They Could Decide The Georgia Runoffs	Nathaniel Rakich	Dec. 17, 2020
losing-money-betting-on-college-football-this-year-youre-not-alone.html	Losing Money Betting On College Football This Year? You’re Not Alone.	Richard Johnson	Dec. 16, 2020
the-oregon-ducks-lost-three-stars-to-the-wnba-but-they-havent-lost-a-step.html	The Oregon Ducks Lost Three Stars To The WNBA, But They Haven’t Lost A Step	Howard Megdal	Dec. 16, 2020
why-the-suburbs-have-shifted-blue.html	Why The Suburbs Have Shifted Blue	Geoffrey Skelley	Dec. 16, 2020
a-record-breaking-number-of-women-will-be-in-bidens-cabinet.html	Updated: A Record-Breaking Number Of Women Could Be In Biden’s Cabinet	Meredith Conroy	Dec. 15, 2020
the-secret-to-iowa-states-improbable-season-balance.html	The Secret To Iowa State’s Improbable Season? Balance.	Josh Planos	Dec. 15, 2020
y-are-some-people-hesitant-to-trust-a-covid-19-vaccine.html	Why Are Some People Hesitant To Trust A COVID-19 Vaccine?		Dec. 15, 2020
raphael-warnocks-dog-ads-cut-against-white-voters-stereotypes-of-black-people.html	Raphael Warnock’s Dog Ads Cut Against White Voters’ Stereotypes Of Black People	Michael Tesler	Dec. 15, 2020
at-the-covid-19-vaccine-means-for-the-political-battles-to-come.html	What The Pandemic Revealed About American Politics	Galen Druke	Dec. 14, 2020
the-saints-and-steelers-hit-a-rut-at-the-worst-time.html	The Saints And Steelers Hit A Rut At The Worst Time		Dec. 14, 2020
how-far-can-ja-morant-take-the-resurgent-memphis-grizzlies.html	How Far Can Ja Morant Take The Resurgent Memphis Grizzlies?	James L. Jackson	Dec. 14, 2020
georgia-democrats-may-have-found-their-own-southern-strategy-a-black-centric-campaign.html	Warnock And Ossoff Are Testing A New Strategy For Democrats In The South	Perry Bacon Jr.	Dec. 14, 2020
ere-was-no-national-database-tracking-covid-19-cases-in-schools-so-emily-oster-made-one.html	The Federal Government Wasn’t Tracking COVID-19 Cases In Schools, So Emily Oster Decided To Do It Herself	Anna Rothschild	Dec. 11, 2020
why-are-we-still-returning-kicks-in-college-football.html	Why Are We Still Returning Kicks In College Football?	Jake Lourim	Dec. 11, 2020
the-thunder-have-been-busier-this-offseason-than-any-team-in-nba-history.html	The Thunder Have Been Busier This Offseason Than Any Team In NBA History	Jared Dubin	Dec. 11, 2020
how-high-can-you-count-with-menorah-math.html	How High Can You Count With Menorah Math?	Zach Wissner-Gross	Dec. 11, 2020
many-black-americans-republicans-women-arent-sure-about-taking-a-covid-19-vaccine.html	Why A Big Bloc of Americans Is Wary Of The COVID-19 Vaccine — Even As Experts Hope To See Widespread Immunization	Perry Bacon Jr.	Dec. 11, 2020
ump-hasnt-pardoned-many-people-but-so-far-they-have-been-mostly-his-friends.html	Trump Hasn’t Pardoned Many People — But So Far They Have Been Mostly His Friends	Galen Druke	Dec. 10, 2020
do-nfl-teams-really-get-a-bounce-after-firing-their-coaches.html	Do NFL Teams Really Get A Bounce After Firing Their Coaches?	Ty Schalter	Dec. 10, 2020
trumps-pardons-have-been-sparse-and-self-serving-and-thats-without-even-pardoning-his-kids.html	Trump’s Pardons Have Been Sparse and Self-Serving — And That’s Without Even Pardoning His Kids	Amelia Thomson-DeVeaux	Dec. 10, 2020
how-to-make-sure-people-come-back-for-their-second-covid-19-vaccine-dose.html	How To Make Sure People Come Back For Their Second COVID-19 Vaccine Dose	Kaleigh Rogers	Dec. 10, 2020
how-black-latino-and-progressive-democrats-are-forcing-biden-to-rethink-his-cabinet-picks.html	How Black, Latino And Progressive Democrats Are Forcing Biden To Rethink His Cabinet Picks	Perry Bacon Jr.	Dec. 9, 2020
christian-wood-might-be-the-rockets-silver-lining.html	Christian Wood Might Be The Rockets’ Silver Lining	Michael Pina	Dec. 9, 2020
where-are-georgias-senate-candidates-getting-all-that-cash-from.html	Where Are Georgia’s Senate Candidates Getting All That Cash From?	Chris Zubak-Skees	Dec. 9, 2020
why-so-many-men-stuck-with-trump-in-2020.html	Why So Many Men Stuck With Trump In 2020	Amelia Thomson-DeVeaux	Dec. 9, 2020
y-the-gop-isnt-able-to-win-the-popular-vote.html	Why The GOP Isn’t Able To Win The Popular Vote	Galen Druke	Dec. 8, 2020
you-might-have-given-the-coronavirus-to-your-cat.html	You Might Have Given The Coronavirus To Your Cat	Anna Rothschild	Apr. 29, 2021
kevin-durant-looks-like-himself-again.html	Achilles Tears Often Spell Doom For Basketball Players. But Kevin Durant Looks Like Himself Again.	Robert O'Connell	Apr. 29, 2021
how-coastal-carolina-invaded-the-top-15-and-our-hearts.html	How Coastal Carolina Invaded The Top 15 (And Our Hearts)	Josh Planos	Dec. 8, 2020
the-mewis-sisters-are-playing-soccer-together-again-this-time-its-at-the-highest-level.html	The Mewis Sisters Are Playing Soccer Together Again. This Time, It’s At The Highest Level.	Jenn Hatfield	Dec. 8, 2020
are-the-jets-tanking-or-are-they-just-this-bad.html	Are The Jets Tanking, Or Are They Just This Bad?		Dec. 7, 2020
how-an-undrafted-rookie-stopped-james-harden-in-the-playoffs.html	How An Undrafted Rookie Stopped James Harden In The Playoffs	Julian McKenzie	Dec. 7, 2020
nt-believe-anything-the-2020-exit-polls-tell-you.html	Exit Polls Came Up Short This Year. Here’s Why.	Laura Bronner	Dec. 7, 2020
what-the-polls-say-about-georgias-senate-runoffs.html	What The Polls Say About Georgia’s Senate Runoffs	Geoffrey Skelley	Dec. 7, 2020
jose-mourinho-has-tottenham-at-the-top-of-the-table-but-are-spurs-for-real.html	José Mourinho Has Tottenham At The Top Of The Table. But Are Spurs For Real?	Terrence Doyle	Dec. 4, 2020
can-you-cut-the-cookies.html	Can You Cut The Cookies?	Zach Wissner-Gross	Dec. 4, 2020
trump-was-never-very-popular-but-how-will-americans-view-him-and-biden-now.html	Trump Was Never Very Popular, But How Will Americans View Him (And Biden) Now?	Nathaniel Rakich	Dec. 4, 2020
whos-the-most-chaotic-movie-football-coach.html	Who’s The Most Chaotic Movie Football Coach?	Josh Hermsmeyer	Dec. 4, 2020
y-polling-has-gotten-so-hard.html	Why Polling Has Gotten So Hard	Galen Druke	Dec. 3, 2020
carson-wentz-is-in-freefall-and-the-eagles-are-going-down-with-him.html	Carson Wentz Is In Freefall, And The Eagles Are Going Down With Him	Neil Paine	Dec. 3, 2020
floridas-kyle-pitts-is-an-nfl-tight-end-in-a-college-uniform.html	Florida’s Kyle Pitts Is An NFL Tight End In A College Uniform	Jake Lourim	Dec. 3, 2020
5-ways-biden-might-differ-from-or-agree-with-trump-on-technology.html	5 Ways Biden Might Differ From — Or Agree With — Trump On Technology	Kaleigh Rogers	Dec. 3, 2020
charles-johnson-was-damn-good-behind-and-at-the-plate.html	Charles Johnson Was Damn Good Behind (And At) The Plate	Neil Paine	Dec. 2, 2020
alabama-is-winning-with-its-offense-thanks-to-mac-jones.html	Alabama Is Winning With Its Offense, Thanks To Mac Jones	Josh Planos	Dec. 2, 2020
there-wasnt-that-much-split-ticket-voting-in-2020.html	There Wasn’t That Much Split-Ticket Voting In 2020	Nathaniel Rakich	Dec. 2, 2020
mocrats-2020-house-and-senate-map-could-spell-trouble-in-future-elections.html	Democrats’ 2020 House And Senate Map Could Spell Trouble In Future Elections	Galen Druke	Dec. 1, 2020
the-atlanta-hawks-are-going-all-in-on-offense.html	The Atlanta Hawks Are Going All-In On Offense	Michael Pina	Dec. 1, 2020
why-are-great-athletes-more-likely-to-be-the-younger-siblings.html	Why Are Great Athletes More Likely To Be Younger Siblings?	Tim Wigmore	Dec. 1, 2020
week-12-taught-us-that-nfl-teams-really-do-need-quarterbacks.html	Week 12 Taught Us That NFL Teams Really Do Need Quarterbacks		Nov. 30, 2020
-you-buy-that-suburban-voters-helped-biden.html	Do You Buy That … Suburban Voters Helped Biden?	Nate Silver	Nov. 30, 2020
why-are-free-throws-so-much-harder-to-come-by-in-wheelchair-basketball.html	Why Are Free Throws So Much Harder To Come By In Wheelchair Basketball?	John Loeppky	Nov. 30, 2020
what-makes-a-one-term-president.html	What Makes A One-Term President?	Julia Azari	Nov. 30, 2020
the-nba-champs-look-more-dangerous-than-ever.html	The NBA Champs Look More Dangerous Than Ever	Chris Herring	Nov. 25, 2020
how-do-college-football-dynasties-fall.html	How Do College Football Dynasties Fall?	Jake Lourim	Nov. 25, 2020
its-hard-to-measure-nfl-matchups-so-we-built-a-better-metric.html	It’s Hard To Measure NFL Matchups, So We Built A Better Metric	Josh Hermsmeyer	Nov. 25, 2020
what-weve-learned-about-the-biden-administration-from-his-staffing-choices-so-far.html	What We’ve Learned About The Biden Administration From His Staffing Choices So Far	Perry Bacon Jr.	Nov. 24, 2020
college-basketball-muddles-through-the-pandemic-like-everyone-else.html	College Basketball Muddles Through The Pandemic Like Everyone Else		Nov. 24, 2020
how-these-wnba-prospects-can-improve-their-draft-stock.html	How These WNBA Prospects Can Improve Their Draft Stock	Howard Megdal	Nov. 24, 2020
what-does-makur-maker-mean-for-the-future-of-hbcu-sports.html	What Does Makur Maker Mean For The Future Of HBCU Sports?	Josh Planos	Nov. 24, 2020
could-social-alienation-among-some-trump-supporters-help-explain-why-polls-underestimated-trump-again.html	Could Social Alienation Among Some Trump Supporters Help Explain Why Polls Underestimated Trump Again?	Daniel Cox	Nov. 24, 2020
ump-probably-wont-be-the-last-politician-to-reject-an-election-outcome-without-evidence.html	Trump Probably Won’t Be The Last Politician To Reject An Election Outcome Without Evidence	Galen Druke	Nov. 23, 2020
what-are-the-best-free-agent-fits-of-the-mlb-offseason.html	What Are The Best Free Agent Fits Of The MLB Offseason?	Travis Sawchik	Nov. 23, 2020
the-birther-myth-stuck-around-for-years-the-election-fraud-myth-might-too.html	The Birther Myth Stuck Around For Years. The Election Fraud Myth Might Too.	Kaleigh Rogers	Nov. 23, 2020
every-day-the-chiefs-write-the-book-on-epic-comebacks.html	Every Day, The Chiefs Write The Book (On Epic Comebacks)		Nov. 23, 2020
-you-buy-that-covid-19-was-a-factor-in-polls-underestimating-republican-turnout.html	Do You Buy That … COVID-19 Was A Factor In Polls Underestimating Republican Turnout?	Nate Silver	Nov. 23, 2020
how-to-trust-that-a-covid-19-vaccine-is-safe.html	How To Trust That A COVID-19 Vaccine Is Safe	Anna Rothschild	Nov. 21, 2020
what-we-know-about-how-white-and-latino-americans-voted-in-2020.html	What We Know About How White and Latino Americans Voted In 2020	Amelia Thomson-DeVeaux	Nov. 23, 2020
why-even-a-small-thanksgiving-is-dangerous.html	Why Even A Small Thanksgiving Is Dangerous	Maggie Koerth	Nov. 20, 2020
daryl-morey-needed-three-weeks-to-fix-one-of-the-sixers-big-problems.html	Daryl Morey Needed Three Weeks To Fix One Of The Sixers’ Big Problems	Jared Dubin	Nov. 20, 2020
can-you-pass-the-cranberry-sauce.html	Can You Pass The Cranberry Sauce?	Zach Wissner-Gross	Nov. 20, 2020
more-republicans-distrust-this-years-election-results-than-democrats-after-2016.html	More Republicans Distrust This Year’s Election Results Than Democrats After 2016	Dhrumil Mehta	Nov. 20, 2020
w-durable-is-georgias-blue-shift-well-find-out-in-january.html	How Durable Is Georgia’s Blue Shift? We’ll Find Out In January.	Galen Druke	Nov. 19, 2020
the-upsides-and-downsides-of-the-nbas-five-biggest-trades-so-far.html	The Upsides And Downsides Of The NBA’s Five Biggest Trades So Far	Chris Herring	Nov. 19, 2020
the-indianapolis-colts-finally-built-a-defensive-monster.html	The Indianapolis Colts Finally Built A Defensive Monster	Ty Schalter	Nov. 19, 2020
the-cabinet-appointments-that-really-matter-in-the-incoming-biden-administration.html	The Cabinet Appointments That Really Matter In The Incoming Biden Administration	Perry Bacon Jr.	Nov. 19, 2020
how-georgia-turned-blue.html	How Georgia Turned Blue	Perry Bacon Jr.	Nov. 18, 2020
with-a-win-over-ohio-state-indiana-would-be-in-the-big-ten-drivers-seat-wait-what.html	With A Win Over Ohio State, Indiana Would Be In The Big Ten Driver’s Seat. Wait, What?	Josh Planos	Nov. 18, 2020
chris-paul-helped-blake-griffin-shine-can-he-do-the-same-for-deandre-ayton.html	Chris Paul Helped Blake Griffin Shine. Can He Do The Same For Deandre Ayton?	Jared Dubin	Nov. 18, 2020
republicans-won-almost-every-election-where-redistricting-was-at-stake.html	Republicans Won Almost Every Election Where Redistricting Was At Stake	Nathaniel Rakich	Nov. 18, 2020
these-3-nba-draft-prospects-are-perfect-fits-for-the-modern-league.html	These 3 NBA Draft Prospects Are Perfect Fits For The Modern League	Michael Pina	Nov. 17, 2020
after-beating-cancer-this-syracuse-point-guard-is-coming-for-the-record-books.html	After Beating Cancer, This Syracuse Point Guard Is Coming For The Record Books	Howard Megdal	Nov. 17, 2020
what-trumps-refusal-to-concede-says-about-american-democracy.html	What Trump’s Refusal To Concede Says About American Democracy	Perry Bacon Jr.	Nov. 17, 2020
whos-best-in-the-nfc-west-who-knows.html	Who’s Best In The NFC West? ¯\_(ツ)_/¯		Nov. 16, 2020
kim-ngs-hiring-could-be-the-start-of-something-special-in-miami.html	Kim Ng’s Hiring Could Be The Start Of Something Special In Miami	Neil Paine	Nov. 16, 2020
ericans-became-more-divided-by-class-in-2020.html	Americans Became More Divided By Class In 2020	Galen Druke	Nov. 16, 2020
how-a-record-number-of-republican-women-will-and-wont-change-congress.html	How A Record Number Of Republican Women Will — And Won’t — Change Congress	Meredith Conroy	Nov. 16, 2020
theres-no-longterm-plan-for-long-covid.html	What We Know About ‘Long COVID’	Sinduja Srinivasan	Nov. 13, 2020
ty-lue-inherited-a-kawhi-leonard-problem.html	Ty Lue Inherited A Kawhi Leonard Problem	James L. Jackson	Nov. 13, 2020
can-you-snatch-defeat-from-the-jaws-of-victory.html	Can You Snatch Defeat From The Jaws Of Victory?	Zach Wissner-Gross	Nov. 13, 2020
at-the-2020-house-elections-could-mean-for-the-2022-midterms.html	What The 2020 House Elections Could Mean For The 2022 Midterms	Geoffrey Skelley	Nov. 13, 2020
americans-were-primed-to-believe-the-current-onslaught-of-disinformation.html	Americans Were Primed To Believe The Current Onslaught Of Disinformation	Kaleigh Rogers	Nov. 12, 2020
w-the-pandemic-mightve-affected-the-polls-in-2020.html	How The Pandemic Might Have Affected The Polls In 2020	Galen Druke	Nov. 12, 2020
the-steelers-and-bills-have-been-historically-lucky-so-far-the-chargers-have-not.html	Which NFL Teams Have Been The Luckiest — And The Unluckiest — This Season?	Neil Paine	Nov. 12, 2020
e-georgia-senate-runoffs-are-already-in-full-swing.html	The Georgia Senate Runoffs Are Already In Full Swing	Galen Druke	Nov. 12, 2020
liverpool-and-manchester-city-look-ordinary-are-they.html	Liverpool And Manchester City Look Ordinary. Are They?	Terrence Doyle	Nov. 12, 2020
republicans-2020-gains-in-the-house-set-them-up-well-for-2022.html	Republicans Are On Track To Take Back The House In 2022	Geoffrey Skelley	Nov. 12, 2020
where-we-saw-red-and-blue-mirages-on-election-night.html	What Blue And Red ‘Shifts’ Looked Like In Every State	Laura Bronner	Nov. 12, 2020
